,epoch_of_task_vector_12_alpha_0.16,epoch_of_task_vector_12_alpha_0.18,epoch_of_task_vector_12_alpha_0.2,epoch_of_task_vector_12_alpha_0.22,epoch_of_task_vector_12_alpha_0.24,epoch_of_task_vector_12_alpha_0.4,epoch_of_task_vector_12_alpha_0.6,epoch_of_task_vector_12_alpha_0.8,epoch_of_task_vector_12_alpha_1.0,epoch_of_task_vector_14_alpha_0.16,epoch_of_task_vector_14_alpha_0.18,epoch_of_task_vector_14_alpha_0.2,epoch_of_task_vector_14_alpha_0.22,epoch_of_task_vector_14_alpha_0.24,epoch_of_task_vector_14_alpha_0.4,epoch_of_task_vector_14_alpha_0.6,epoch_of_task_vector_14_alpha_0.8,epoch_of_task_vector_14_alpha_1.0,epoch_of_task_vector_16_alpha_0.16,epoch_of_task_vector_16_alpha_0.18,epoch_of_task_vector_16_alpha_0.2,epoch_of_task_vector_16_alpha_0.22,epoch_of_task_vector_16_alpha_0.24,epoch_of_task_vector_16_alpha_0.4,epoch_of_task_vector_16_alpha_0.6,epoch_of_task_vector_16_alpha_0.8,epoch_of_task_vector_16_alpha_1.0,epoch_of_task_vector_18_alpha_0.16,epoch_of_task_vector_18_alpha_0.18,epoch_of_task_vector_18_alpha_0.2,epoch_of_task_vector_18_alpha_0.22,epoch_of_task_vector_18_alpha_0.24,epoch_of_task_vector_18_alpha_0.4,epoch_of_task_vector_18_alpha_0.6,epoch_of_task_vector_18_alpha_0.8,epoch_of_task_vector_18_alpha_1.0
0,2.467,2.475,2.517,2.517,2.508,2.508,2.417,3.058,2.333,2.408,2.425,2.458,2.467,2.467,2.425,2.292,2.558,0.108,2.417,2.442,2.45,2.45,2.483,2.467,2.358,2.842,0.242,2.425,2.45,2.458,2.45,2.492,2.475,2.35,2.808,0.308
1,16.908,16.917,16.95,16.792,16.592,14.167,10.908,10.45,9.1,16.275,16.033,15.775,15.375,15.05,10.183,5.2,4.25,2.758,16.108,15.85,15.45,15.05,14.683,9.3,4.642,4.25,3.367,16.1,15.875,15.492,15.125,14.792,9.483,4.692,4.125,3.258
2,21.267,22.158,23.15,24.15,25.183,32.642,44.858,65.333,81.958,21.083,21.867,22.633,23.367,24.25,30.592,39.275,49.3,38.725,20.783,21.558,22.275,23.017,23.983,29.508,36.375,45.725,41.95,20.817,21.633,22.292,22.925,23.975,29.333,35.933,44.717,42.35
3,24.192,26.033,28.108,30.533,32.983,55.133,86.575,98.667,98.092,23.9,25.55,27.683,29.675,31.642,52.517,82.258,94.8,90.733,23.592,25.408,27.392,29.267,31.358,51.758,81.542,95.817,94.583,23.742,25.475,27.533,29.525,31.433,52.158,82.05,95.925,95.108
4,25.183,27.408,29.342,31.725,34.292,60.192,91.242,99.392,99.375,24.633,26.625,28.825,31.217,33.65,57.5,87.633,96.542,92.942,24.592,26.35,28.667,30.892,33.208,57.225,87.55,97.283,95.575,24.808,26.675,28.783,31.058,33.508,57.517,87.958,97.558,96.408
5,26.392,28.3,30.592,33.033,35.483,61.308,92.092,99.5,99.692,25.892,27.867,29.842,32.35,34.817,59.5,88.208,96.842,94.65,25.383,27.525,29.583,31.925,34.4,58.7,87.933,97.45,96.417,25.408,27.617,29.892,32.2,34.533,59.092,88.183,97.592,96.85
6,27.783,30.108,32.583,35.183,37.592,65.558,94.958,99.608,99.8,26.817,29.058,31.383,33.767,36.425,62.4,90.167,97.067,94.242,26.55,28.892,31.05,33.317,35.917,62.133,90.433,97.475,95.417,26.683,29.117,31.283,33.467,36.05,62.575,90.608,97.717,96.025
7,21.683,23.292,24.942,26.45,28.283,47.042,76.692,94.233,97.008,23.45,25.542,27.583,29.808,32.375,58.25,92.392,99.533,99.8,22.675,24.625,26.65,28.483,30.642,54.525,88.633,99.15,99.65,22.85,24.817,26.708,28.667,30.775,54.9,88.858,99.217,99.658
8,22.942,24.45,26.467,28.542,30.383,50.025,78.808,94.892,96.592,24.308,26.167,28.65,31.125,33.7,57.708,90.142,99.1,99.575,24.617,26.658,29.108,31.35,33.975,59.825,92.65,99.567,99.8,24.525,26.633,28.967,31.417,33.875,59.492,92.292,99.508,99.792
9,22.875,24.458,26.183,28.05,29.917,50.083,78.9,94.742,95.592,24.425,26.283,28.342,30.583,33.008,58.0,90.233,99.25,99.583,24.525,26.417,28.45,30.825,33.6,59.3,92.258,99.508,99.792,24.683,26.6,28.717,31.108,33.792,59.55,92.567,99.558,99.8
10,22.692,24.325,26.025,27.842,29.892,49.925,78.992,94.733,95.192,24.092,25.967,28.342,30.45,32.85,57.775,90.158,99.158,99.558,24.358,26.225,28.258,30.8,33.375,58.725,92.25,99.533,99.792,24.517,26.325,28.583,30.983,33.467,59.217,92.617,99.558,99.792
11,22.7,24.15,25.825,27.908,29.85,49.992,79.083,94.792,95.0,24.067,25.967,28.058,30.283,32.842,57.725,90.15,99.167,99.558,24.292,26.35,28.292,30.708,33.2,58.683,92.058,99.492,99.8,24.4,26.4,28.45,30.867,33.433,59.242,92.517,99.55,99.783
12,22.6,24.108,25.808,27.892,29.775,49.942,79.075,94.783,95.225,23.942,25.8,27.775,30.15,32.692,57.475,90.058,99.117,99.55,24.117,26.233,28.192,30.608,33.025,58.55,92.042,99.475,99.783,24.167,26.367,28.35,30.75,33.258,59.133,92.375,99.517,99.775
